title,description,priority
Noise Complaint,Mess food quality can be improved during dinner. The issue is affecting daily hostel life.,Low
Suggestion,Hostel walls require repainting in Block D. Immediate maintenance is requested.,Low
Cleaning Request,Request to install additional charging ports. The complaint was observed this morning.,Low
Minor Maintenance,Room cleaning has not been done for two days in room 280. Immediate maintenance is requested.,Low
Ceiling Collapse,Strong gas smell reported near hostel kitchen in Block C. The complaint was observed this morning.,High
Door Lock Issue,Flush is not working in hostel washroom. The complaint was observed this morning.,Medium
Water Supply Problem,Flush is not working in hostel washroom. Please resolve this issue as soon as possible.,Medium
Window Damage,Bathroom tap keeps dripping in room 493. This problem has been occurring since yesterday.,Medium
Minor Maintenance,Dustbin outside room 337 is overflowing. The complaint was observed this morning.,Low
Short Circuit,Short circuit occurred near switchboard in room 117. This has become inconvenient for students.,High
Smoke Alert,Smoke observed coming from electrical wiring in corridor. Kindly look into this matter.,High
Security Emergency,Lift stopped unexpectedly with students inside Block D. This has become inconvenient for students.,High
Suggestion,Hostel walls require repainting in Block D. Kindly look into this matter.,Low
Minor Maintenance,Internet speed is slow in room 217. This problem has been occurring since yesterday.,Low
Furniture Damage,Flush is not working in hostel washroom. Kindly look into this matter.,Medium
WiFi Slow,Garden near Block C requires maintenance. The problem is becoming worse every day.,Low
Smoke Alert,Ceiling plaster collapsed in room 139. This has become inconvenient for students.,High
Door Lock Issue,Study table leg is broken in room 361. The complaint was observed this morning.,Medium
Short Circuit,"Continuous water leakage from ceiling in room 168, Block A. This has become inconvenient for students.",High
Suggestion,Mess food quality can be improved during dinner. Please resolve this issue as soon as possible.,Low
Socket Repair,Ceiling fan is not rotating properly in room 180. This has become inconvenient for students.,Medium
Cleaning Request,Students are making noise after study hours. This has become inconvenient for students.,Low
Dustbin Overflow,Hostel walls require repainting in Block C. Immediate maintenance is requested.,Low
Water Tap Problem,Switch board buttons are loose in room 401. The complaint was observed this morning.,Medium
Noise Complaint,Request to install additional charging ports. The complaint was observed this morning.,Low
Minor Maintenance,Curtain rod is slightly loose in room 238. This has become inconvenient for students.,Low
Garden Maintenance,Students are making noise after study hours. Please resolve this issue as soon as possible.,Low
Electric Shock,Lift stopped unexpectedly with students inside Block E. Kindly look into this matter.,High
Cleaning Request,Dustbin outside room 147 is overflowing. The complaint was observed this morning.,Low
Short Circuit,"Continuous water leakage from ceiling in room 413, Block A. This has become inconvenient for students.",High
Fire Hazard,Strong gas smell reported near hostel kitchen in Block E. The complaint was observed this morning.,High
Fire Hazard,"Continuous water leakage from ceiling in room 204, Block A. Immediate maintenance is requested.",High
Security Emergency,Student experienced electric shock from socket in room 191. The complaint was observed this morning.,High
Suggestion,Request to install additional charging ports. The complaint was observed this morning.,Low
Noise Complaint,Curtain rod is slightly loose in room 475. Immediate maintenance is requested.,Low
Medical Emergency,Fire sparks noticed near electrical panel in room 179. The problem is becoming worse every day.,High
Water Leakage,Strong gas smell reported near hostel kitchen in Block C. The complaint was observed this morning.,High
Tube Light Fault,Tube light flickers continuously in room 223. This problem has been occurring since yesterday.,Medium
Mess Food Feedback,Dustbin outside room 231 is overflowing. The issue is affecting daily hostel life.,Low
Suggestion,Garden near Block E requires maintenance. The complaint was observed this morning.,Low
Cleaning Request,Room cleaning has not been done for two days in room 454. Please resolve this issue as soon as possible.,Low
Painting Request,Request to install additional charging ports. Please resolve this issue as soon as possible.,Low
Fan Repair,Power socket is loose and needs replacement. The problem is becoming worse every day.,Medium
Cleaning Request,Mess food quality can be improved during dinner. The complaint was observed this morning.,Low
Smoke Alert,Strong gas smell reported near hostel kitchen in Block D. This problem has been occurring since yesterday.,High
Mess Food Feedback,Hostel walls require repainting in Block A. The problem is becoming worse every day.,Low
Minor Maintenance,Request to install additional charging ports. This problem has been occurring since yesterday.,Low
Minor Maintenance,Curtain rod is slightly loose in room 388. The problem is becoming worse every day.,Low
Gas Leak,Student experienced electric shock from socket in room 490. Immediate maintenance is requested.,High
Gas Leak,Student experienced electric shock from socket in room 292. Please resolve this issue as soon as possible.,High
Gas Leak,"Continuous water leakage from ceiling in room 348, Block C. This has become inconvenient for students.",High
Smoke Alert,"Continuous water leakage from ceiling in room 125, Block C. This has become inconvenient for students.",High
Switch Board Issue,Water supply is irregular in Block A. This problem has been occurring since yesterday.,Medium
Garden Maintenance,Room cleaning has not been done for two days in room 414. Kindly look into this matter.,Low
WiFi Slow,Laundry clothes have not been returned on time. Immediate maintenance is requested.,Low
Tube Light Fault,Switch board buttons are loose in room 271. Please resolve this issue as soon as possible.,Medium
Lift Failure,Student collapsed due to breathing difficulty in room 142. Please resolve this issue as soon as possible.,High
Short Circuit,Smoke observed coming from electrical wiring in corridor. The problem is becoming worse every day.,High
Water Leakage,Short circuit occurred near switchboard in room 150. The complaint was observed this morning.,High
Socket Repair,Window glass cracked due to heavy wind in room 339. This problem has been occurring since yesterday.,Medium
Gas Leak,Student collapsed due to breathing difficulty in room 426. The complaint was observed this morning.,High
Security Emergency,Strong gas smell reported near hostel kitchen in Block B. The issue is affecting daily hostel life.,High
Tube Light Fault,Tube light flickers continuously in room 506. The problem is becoming worse every day.,Medium
Short Circuit,Strong gas smell reported near hostel kitchen in Block C. This problem has been occurring since yesterday.,High
Switch Board Issue,Window glass cracked due to heavy wind in room 182. The problem is becoming worse every day.,Medium
Water Leakage,Fire sparks noticed near electrical panel in room 494. The issue is affecting daily hostel life.,High
Short Circuit,Ceiling plaster collapsed in room 282. The complaint was observed this morning.,High
Socket Repair,Tube light flickers continuously in room 315. Kindly look into this matter.,Medium
Fan Repair,Switch board buttons are loose in room 340. The problem is becoming worse every day.,Medium
Ceiling Collapse,Student collapsed due to breathing difficulty in room 302. Immediate maintenance is requested.,High
Mess Food Feedback,Hostel walls require repainting in Block E. This has become inconvenient for students.,Low
Minor Maintenance,Garden near Block E requires maintenance. This has become inconvenient for students.,Low
Switch Board Issue,Window glass cracked due to heavy wind in room 444. The issue is affecting daily hostel life.,Medium
Medical Emergency,Strong gas smell reported near hostel kitchen in Block D. The problem is becoming worse every day.,High
Dustbin Overflow,Laundry clothes have not been returned on time. Immediate maintenance is requested.,Low
Water Leakage,Strong gas smell reported near hostel kitchen in Block C. This problem has been occurring since yesterday.,High
Tube Light Fault,Door lock is jammed and cannot be opened in room 109. Immediate maintenance is requested.,Medium
Door Lock Issue,Flush is not working in hostel washroom. Kindly look into this matter.,Medium
Socket Repair,Tube light flickers continuously in room 321. The issue is affecting daily hostel life.,Medium
Fire Hazard,Fire sparks noticed near electrical panel in room 496. The problem is becoming worse every day.,High
Noise Complaint,Students are making noise after study hours. This problem has been occurring since yesterday.,Low
Door Lock Issue,Flush is not working in hostel washroom. The problem is becoming worse every day.,Medium
Furniture Damage,Study table leg is broken in room 322. The problem is becoming worse every day.,Medium
Fire Hazard,Smoke observed coming from electrical wiring in corridor. This problem has been occurring since yesterday.,High
Suggestion,Laundry clothes have not been returned on time. This problem has been occurring since yesterday.,Low
Garden Maintenance,Room cleaning has not been done for two days in room 221. The issue is affecting daily hostel life.,Low
Medical Emergency,Short circuit occurred near switchboard in room 166. The complaint was observed this morning.,High
Gas Leak,Lift stopped unexpectedly with students inside Block B. This has become inconvenient for students.,High
Socket Repair,Switch board buttons are loose in room 112. This problem has been occurring since yesterday.,Medium
Ceiling Collapse,Ceiling plaster collapsed in room 173. The problem is becoming worse every day.,High
Security Emergency,Fire sparks noticed near electrical panel in room 258. Please resolve this issue as soon as possible.,High
Medical Emergency,Ceiling plaster collapsed in room 292. Please resolve this issue as soon as possible.,High
Ceiling Collapse,Strong gas smell reported near hostel kitchen in Block C. Kindly look into this matter.,High
Water Tap Problem,Water supply is irregular in Block A. This has become inconvenient for students.,Medium
Cleaning Request,Hostel walls require repainting in Block B. The issue is affecting daily hostel life.,Low
Gas Leak,"Continuous water leakage from ceiling in room 169, Block A. The issue is affecting daily hostel life.",High
Suggestion,Hostel walls require repainting in Block D. This has become inconvenient for students.,Low
Window Damage,Bathroom tap keeps dripping in room 155. This problem has been occurring since yesterday.,Medium
Dustbin Overflow,Dustbin outside room 183 is overflowing. The problem is becoming worse every day.,Low
Security Emergency,Short circuit occurred near switchboard in room 378. This has become inconvenient for students.,High
Short Circuit,Smoke observed coming from electrical wiring in corridor. The problem is becoming worse every day.,High
Furniture Damage,Power socket is loose and needs replacement. The problem is becoming worse every day.,Medium
Dustbin Overflow,Students are making noise after study hours. The problem is becoming worse every day.,Low
Water Leakage,Strong gas smell reported near hostel kitchen in Block A. Please resolve this issue as soon as possible.,High
Flush Issue,Ceiling fan is not rotating properly in room 189. This has become inconvenient for students.,Medium
Painting Request,Request to install additional charging ports. This has become inconvenient for students.,Low
Cleaning Request,Request to install additional charging ports. This problem has been occurring since yesterday.,Low
Mess Food Feedback,Room cleaning has not been done for two days in room 449. The issue is affecting daily hostel life.,Low
Minor Maintenance,Students are making noise after study hours. Kindly look into this matter.,Low
Suggestion,Internet speed is slow in room 339. The complaint was observed this morning.,Low
WiFi Slow,Mess food quality can be improved during dinner. Immediate maintenance is requested.,Low
Cleaning Request,Garden near Block E requires maintenance. The problem is becoming worse every day.,Low
Minor Maintenance,Laundry clothes have not been returned on time. Immediate maintenance is requested.,Low
Short Circuit,Student collapsed due to breathing difficulty in room 180. The issue is affecting daily hostel life.,High
Short Circuit,Short circuit occurred near switchboard in room 350. Immediate maintenance is requested.,High
Dustbin Overflow,Mess food quality can be improved during dinner. Please resolve this issue as soon as possible.,Low
Water Leakage,Strong gas smell reported near hostel kitchen in Block B. Kindly look into this matter.,High
Cleaning Request,Curtain rod is slightly loose in room 119. Immediate maintenance is requested.,Low
Minor Maintenance,Room cleaning has not been done for two days in room 298. This has become inconvenient for students.,Low
WiFi Slow,Mess food quality can be improved during dinner. The complaint was observed this morning.,Low
Suggestion,Garden near Block C requires maintenance. The problem is becoming worse every day.,Low
Suggestion,Garden near Block A requires maintenance. Immediate maintenance is requested.,Low
Switch Board Issue,Door lock is jammed and cannot be opened in room 421. The issue is affecting daily hostel life.,Medium
Window Damage,Ceiling fan is not rotating properly in room 509. The problem is becoming worse every day.,Medium
Smoke Alert,Student experienced electric shock from socket in room 238. The issue is affecting daily hostel life.,High
Ceiling Collapse,Smoke observed coming from electrical wiring in corridor. The problem is becoming worse every day.,High
Fire Hazard,"Continuous water leakage from ceiling in room 457, Block D. Immediate maintenance is requested.",High
Minor Maintenance,Internet speed is slow in room 293. The problem is becoming worse every day.,Low
Dustbin Overflow,Internet speed is slow in room 410. Please resolve this issue as soon as possible.,Low
Flush Issue,Ceiling fan is not rotating properly in room 244. This problem has been occurring since yesterday.,Medium
Smoke Alert,Ceiling plaster collapsed in room 129. Immediate maintenance is requested.,High
Dustbin Overflow,Students are making noise after study hours. This problem has been occurring since yesterday.,Low
Gas Leak,Unknown person entered girls hostel near Block D. The complaint was observed this morning.,High
Security Emergency,Ceiling plaster collapsed in room 416. This problem has been occurring since yesterday.,High
WiFi Slow,Request to install additional charging ports. Immediate maintenance is requested.,Low
Socket Repair,Tube light flickers continuously in room 296. The complaint was observed this morning.,Medium
Tube Light Fault,Door lock is jammed and cannot be opened in room 220. This problem has been occurring since yesterday.,Medium
Medical Emergency,"Continuous water leakage from ceiling in room 275, Block A. The issue is affecting daily hostel life.",High
Mess Food Feedback,Mess food quality can be improved during dinner. The complaint was observed this morning.,Low
Minor Maintenance,Dustbin outside room 290 is overflowing. The complaint was observed this morning.,Low
Lift Failure,Lift stopped unexpectedly with students inside Block D. Kindly look into this matter.,High
Mess Food Feedback,Laundry clothes have not been returned on time. This has become inconvenient for students.,Low
Tube Light Fault,Power socket is loose and needs replacement. The problem is becoming worse every day.,Medium
Minor Maintenance,Dustbin outside room 123 is overflowing. Immediate maintenance is requested.,Low
Painting Request,Students are making noise after study hours. The problem is becoming worse every day.,Low
Water Supply Problem,Window glass cracked due to heavy wind in room 274. Kindly look into this matter.,Medium
Dustbin Overflow,Internet speed is slow in room 510. The problem is becoming worse every day.,Low
Fan Repair,Water supply is irregular in Block D. Kindly look into this matter.,Medium
Water Supply Problem,Power socket is loose and needs replacement. This problem has been occurring since yesterday.,Medium
Fire Hazard,Unknown person entered girls hostel near Block A. This problem has been occurring since yesterday.,High
Ceiling Collapse,Ceiling plaster collapsed in room 310. The issue is affecting daily hostel life.,High
Lift Failure,Student experienced electric shock from socket in room 105. Immediate maintenance is requested.,High
Lift Failure,Lift stopped unexpectedly with students inside Block C. This has become inconvenient for students.,High
Socket Repair,Ceiling fan is not rotating properly in room 430. This has become inconvenient for students.,Medium
Short Circuit,Student collapsed due to breathing difficulty in room 212. This problem has been occurring since yesterday.,High
Garden Maintenance,Curtain rod is slightly loose in room 210. Please resolve this issue as soon as possible.,Low
Door Lock Issue,Water supply is irregular in Block D. Immediate maintenance is requested.,Medium
Mess Food Feedback,Mess food quality can be improved during dinner. Please resolve this issue as soon as possible.,Low
Painting Request,Dustbin outside room 464 is overflowing. Immediate maintenance is requested.,Low
Flush Issue,Switch board buttons are loose in room 324. Immediate maintenance is requested.,Medium
Electric Shock,"Continuous water leakage from ceiling in room 340, Block B. This has become inconvenient for students.",High
Water Leakage,Student experienced electric shock from socket in room 444. Immediate maintenance is requested.,High
Door Lock Issue,Flush is not working in hostel washroom. The complaint was observed this morning.,Medium
Fire Hazard,Fire sparks noticed near electrical panel in room 511. Please resolve this issue as soon as possible.,High
Laundry Delay,Mess food quality can be improved during dinner. The problem is becoming worse every day.,Low
Water Supply Problem,Flush is not working in hostel washroom. Immediate maintenance is requested.,Medium
Minor Maintenance,Laundry clothes have not been returned on time. This problem has been occurring since yesterday.,Low
Window Damage,Study table leg is broken in room 413. Immediate maintenance is requested.,Medium
Noise Complaint,Request to install additional charging ports. Kindly look into this matter.,Low
Dustbin Overflow,Room cleaning has not been done for two days in room 150. This problem has been occurring since yesterday.,Low
Suggestion,Internet speed is slow in room 430. Immediate maintenance is requested.,Low
Cleaning Request,Mess food quality can be improved during dinner. Please resolve this issue as soon as possible.,Low
Smoke Alert,Ceiling plaster collapsed in room 366. Kindly look into this matter.,High
Electric Shock,Ceiling plaster collapsed in room 175. This problem has been occurring since yesterday.,High
Suggestion,Request to install additional charging ports. The complaint was observed this morning.,Low
Ceiling Collapse,Student experienced electric shock from socket in room 437. This problem has been occurring since yesterday.,High
Electric Shock,"Continuous water leakage from ceiling in room 211, Block C. Kindly look into this matter.",High
Mess Food Feedback,Hostel walls require repainting in Block B. Please resolve this issue as soon as possible.,Low
Ceiling Collapse,Smoke observed coming from electrical wiring in corridor. This problem has been occurring since yesterday.,High
Fire Hazard,Strong gas smell reported near hostel kitchen in Block D. This has become inconvenient for students.,High
Furniture Damage,Flush is not working in hostel washroom. Please resolve this issue as soon as possible.,Medium
Water Supply Problem,Tube light flickers continuously in room 119. The problem is becoming worse every day.,Medium
Garden Maintenance,Curtain rod is slightly loose in room 205. Please resolve this issue as soon as possible.,Low
Water Supply Problem,Window glass cracked due to heavy wind in room 437. The issue is affecting daily hostel life.,Medium
Noise Complaint,Students are making noise after study hours. The problem is becoming worse every day.,Low
Medical Emergency,Unknown person entered girls hostel near Block C. The issue is affecting daily hostel life.,High
Water Leakage,Unknown person entered girls hostel near Block E. Kindly look into this matter.,High
Dustbin Overflow,Room cleaning has not been done for two days in room 362. The complaint was observed this morning.,Low
Cleaning Request,Hostel walls require repainting in Block D. This problem has been occurring since yesterday.,Low
Water Supply Problem,Door lock is jammed and cannot be opened in room 466. The complaint was observed this morning.,Medium
Flush Issue,Study table leg is broken in room 195. This problem has been occurring since yesterday.,Medium
Mess Food Feedback,Hostel walls require repainting in Block C. The issue is affecting daily hostel life.,Low
Laundry Delay,Dustbin outside room 112 is overflowing. The complaint was observed this morning.,Low
Noise Complaint,Students are making noise after study hours. Kindly look into this matter.,Low
Water Tap Problem,Bathroom tap keeps dripping in room 359. The issue is affecting daily hostel life.,Medium
Furniture Damage,Study table leg is broken in room 320. The complaint was observed this morning.,Medium
Noise Complaint,Hostel walls require repainting in Block B. The complaint was observed this morning.,Low
Switch Board Issue,Window glass cracked due to heavy wind in room 182. The complaint was observed this morning.,Medium
Door Lock Issue,Study table leg is broken in room 399. The complaint was observed this morning.,Medium
Gas Leak,Student experienced electric shock from socket in room 446. The issue is affecting daily hostel life.,High
Fire Hazard,"Continuous water leakage from ceiling in room 513, Block B. The issue is affecting daily hostel life.",High
Water Supply Problem,Bathroom tap keeps dripping in room 457. This problem has been occurring since yesterday.,Medium
Ceiling Collapse,Student experienced electric shock from socket in room 353. This has become inconvenient for students.,High
WiFi Slow,Dustbin outside room 149 is overflowing. Immediate maintenance is requested.,Low
Smoke Alert,Student experienced electric shock from socket in room 402. The issue is affecting daily hostel life.,High
Mess Food Feedback,Garden near Block B requires maintenance. This problem has been occurring since yesterday.,Low
Minor Maintenance,Hostel walls require repainting in Block D. The issue is affecting daily hostel life.,Low
Gas Leak,Unknown person entered girls hostel near Block D. The complaint was observed this morning.,High
Electric Shock,Lift stopped unexpectedly with students inside Block A. Immediate maintenance is requested.,High
Water Supply Problem,Water supply is irregular in Block D. The problem is becoming worse every day.,Medium
Painting Request,Laundry clothes have not been returned on time. This has become inconvenient for students.,Low
Tube Light Fault,Switch board buttons are loose in room 435. Kindly look into this matter.,Medium
Short Circuit,Unknown person entered girls hostel near Block A. This has become inconvenient for students.,High
Smoke Alert,Lift stopped unexpectedly with students inside Block C. Immediate maintenance is requested.,High
Smoke Alert,Student collapsed due to breathing difficulty in room 122. This problem has been occurring since yesterday.,High
Water Supply Problem,Bathroom tap keeps dripping in room 303. The problem is becoming worse every day.,Medium
Water Leakage,Lift stopped unexpectedly with students inside Block D. Kindly look into this matter.,High
Security Emergency,Unknown person entered girls hostel near Block B. Immediate maintenance is requested.,High
Fire Hazard,Student experienced electric shock from socket in room 395. Please resolve this issue as soon as possible.,High
Lift Failure,Student experienced electric shock from socket in room 162. This problem has been occurring since yesterday.,High
Smoke Alert,Short circuit occurred near switchboard in room 136. Please resolve this issue as soon as possible.,High
Switch Board Issue,Water supply is irregular in Block B. Please resolve this issue as soon as possible.,Medium
Window Damage,Bathroom tap keeps dripping in room 125. Immediate maintenance is requested.,Medium
Gas Leak,Student collapsed due to breathing difficulty in room 276. This has become inconvenient for students.,High
Flush Issue,Door lock is jammed and cannot be opened in room 458. Kindly look into this matter.,Medium
Cleaning Request,Mess food quality can be improved during dinner. The issue is affecting daily hostel life.,Low
Minor Maintenance,Dustbin outside room 118 is overflowing. This problem has been occurring since yesterday.,Low
Ceiling Collapse,Fire sparks noticed near electrical panel in room 173. This problem has been occurring since yesterday.,High
Socket Repair,Water supply is irregular in Block A. The complaint was observed this morning.,Medium
Switch Board Issue,Flush is not working in hostel washroom. Immediate maintenance is requested.,Medium
Socket Repair,Window glass cracked due to heavy wind in room 425. The issue is affecting daily hostel life.,Medium
Socket Repair,Switch board buttons are loose in room 424. The complaint was observed this morning.,Medium
Medical Emergency,Fire sparks noticed near electrical panel in room 359. Kindly look into this matter.,High
Smoke Alert,Smoke observed coming from electrical wiring in corridor. This has become inconvenient for students.,High
Socket Repair,Ceiling fan is not rotating properly in room 385. This problem has been occurring since yesterday.,Medium
Fan Repair,Switch board buttons are loose in room 397. The issue is affecting daily hostel life.,Medium
Fan Repair,Switch board buttons are loose in room 397. This problem has been occurring since yesterday.,Medium
Water Supply Problem,Door lock is jammed and cannot be opened in room 181. The issue is affecting daily hostel life.,Medium
Security Emergency,Fire sparks noticed near electrical panel in room 426. Please resolve this issue as soon as possible.,High
Fire Hazard,Fire sparks noticed near electrical panel in room 351. Kindly look into this matter.,High
Fan Repair,Bathroom tap keeps dripping in room 483. The problem is becoming worse every day.,Medium
Gas Leak,Fire sparks noticed near electrical panel in room 297. This has become inconvenient for students.,High
Door Lock Issue,Flush is not working in hostel washroom. This has become inconvenient for students.,Medium
Window Damage,Ceiling fan is not rotating properly in room 265. This problem has been occurring since yesterday.,Medium
Water Leakage,Smoke observed coming from electrical wiring in corridor. The problem is becoming worse every day.,High
Noise Complaint,Mess food quality can be improved during dinner. Please resolve this issue as soon as possible.,Low
Smoke Alert,"Continuous water leakage from ceiling in room 422, Block C. This has become inconvenient for students.",High
Lift Failure,Student collapsed due to breathing difficulty in room 329. This problem has been occurring since yesterday.,High
Noise Complaint,Laundry clothes have not been returned on time. The complaint was observed this morning.,Low
Lift Failure,Student experienced electric shock from socket in room 141. The problem is becoming worse every day.,High
Short Circuit,Smoke observed coming from electrical wiring in corridor. This problem has been occurring since yesterday.,High
Door Lock Issue,Window glass cracked due to heavy wind in room 335. Immediate maintenance is requested.,Medium
Gas Leak,Lift stopped unexpectedly with students inside Block A. The issue is affecting daily hostel life.,High
Minor Maintenance,Laundry clothes have not been returned on time. The problem is becoming worse every day.,Low
Water Supply Problem,Switch board buttons are loose in room 499. The complaint was observed this morning.,Medium
Door Lock Issue,Window glass cracked due to heavy wind in room 446. This has become inconvenient for students.,Medium
Fire Hazard,Unknown person entered girls hostel near Block B. This problem has been occurring since yesterday.,High
Fire Hazard,"Continuous water leakage from ceiling in room 318, Block C. Please resolve this issue as soon as possible.",High
Gas Leak,Unknown person entered girls hostel near Block D. The complaint was observed this morning.,High
Short Circuit,Short circuit occurred near switchboard in room 204. This has become inconvenient for students.,High
Smoke Alert,Ceiling plaster collapsed in room 417. Kindly look into this matter.,High
Socket Repair,Switch board buttons are loose in room 414. Kindly look into this matter.,Medium
Painting Request,Laundry clothes have not been returned on time. This has become inconvenient for students.,Low
Water Tap Problem,Switch board buttons are loose in room 436. The complaint was observed this morning.,Medium
Water Supply Problem,Power socket is loose and needs replacement. This has become inconvenient for students.,Medium
Laundry Delay,Room cleaning has not been done for two days in room 218. Kindly look into this matter.,Low
Dustbin Overflow,Hostel walls require repainting in Block C. Please resolve this issue as soon as possible.,Low
Tube Light Fault,Flush is not working in hostel washroom. Immediate maintenance is requested.,Medium
Flush Issue,Study table leg is broken in room 269. Kindly look into this matter.,Medium
Fire Hazard,Student experienced electric shock from socket in room 465. The complaint was observed this morning.,High
Socket Repair,Power socket is loose and needs replacement. Please resolve this issue as soon as possible.,Medium
Electric Shock,Strong gas smell reported near hostel kitchen in Block E. The problem is becoming worse every day.,High
Electric Shock,Ceiling plaster collapsed in room 121. Kindly look into this matter.,High
Cleaning Request,Room cleaning has not been done for two days in room 343. Immediate maintenance is requested.,Low
Medical Emergency,Lift stopped unexpectedly with students inside Block E. The complaint was observed this morning.,High
Painting Request,Internet speed is slow in room 481. This problem has been occurring since yesterday.,Low
Fire Hazard,Strong gas smell reported near hostel kitchen in Block C. This has become inconvenient for students.,High
Painting Request,Internet speed is slow in room 451. The issue is affecting daily hostel life.,Low
Fire Hazard,"Continuous water leakage from ceiling in room 270, Block D. This problem has been occurring since yesterday.",High
Switch Board Issue,Power socket is loose and needs replacement. The problem is becoming worse every day.,Medium
Short Circuit,"Continuous water leakage from ceiling in room 196, Block B. The issue is affecting daily hostel life.",High
Switch Board Issue,Door lock is jammed and cannot be opened in room 325. This has become inconvenient for students.,Medium
Furniture Damage,Window glass cracked due to heavy wind in room 353. Please resolve this issue as soon as possible.,Medium
WiFi Slow,Garden near Block D requires maintenance. This has become inconvenient for students.,Low
Window Damage,Study table leg is broken in room 155. Please resolve this issue as soon as possible.,Medium
Security Emergency,Ceiling plaster collapsed in room 186. The issue is affecting daily hostel life.,High
Short Circuit,Student collapsed due to breathing difficulty in room 145. This problem has been occurring since yesterday.,High
Laundry Delay,Students are making noise after study hours. Please resolve this issue as soon as possible.,Low
Socket Repair,Water supply is irregular in Block B. This has become inconvenient for students.,Medium
Gas Leak,Student experienced electric shock from socket in room 278. The problem is becoming worse every day.,High
Window Damage,Water supply is irregular in Block B. This has become inconvenient for students.,Medium
Switch Board Issue,Water supply is irregular in Block B. This has become inconvenient for students.,Medium
Flush Issue,Door lock is jammed and cannot be opened in room 481. The problem is becoming worse every day.,Medium
Lift Failure,Fire sparks noticed near electrical panel in room 344. This problem has been occurring since yesterday.,High
Socket Repair,Power socket is loose and needs replacement. The complaint was observed this morning.,Medium
Mess Food Feedback,Room cleaning has not been done for two days in room 258. The issue is affecting daily hostel life.,Low
Noise Complaint,Garden near Block D requires maintenance. Immediate maintenance is requested.,Low
Laundry Delay,Mess food quality can be improved during dinner. The problem is becoming worse every day.,Low
Painting Request,Room cleaning has not been done for two days in room 387. The problem is becoming worse every day.,Low
Window Damage,Window glass cracked due to heavy wind in room 209. The problem is becoming worse every day.,Medium
Dustbin Overflow,Curtain rod is slightly loose in room 451. This has become inconvenient for students.,Low
Socket Repair,Ceiling fan is not rotating properly in room 415. Immediate maintenance is requested.,Medium
Window Damage,Tube light flickers continuously in room 162. Immediate maintenance is requested.,Medium
Water Tap Problem,Tube light flickers continuously in room 447. The problem is becoming worse every day.,Medium
WiFi Slow,Garden near Block E requires maintenance. This has become inconvenient for students.,Low
Security Emergency,Student experienced electric shock from socket in room 445. This problem has been occurring since yesterday.,High
Ceiling Collapse,Fire sparks noticed near electrical panel in room 460. This problem has been occurring since yesterday.,High
WiFi Slow,Curtain rod is slightly loose in room 459. The issue is affecting daily hostel life.,Low
Short Circuit,Short circuit occurred near switchboard in room 285. This has become inconvenient for students.,High
Water Leakage,Student experienced electric shock from socket in room 423. This problem has been occurring since yesterday.,High
Security Emergency,Fire sparks noticed near electrical panel in room 340. The problem is becoming worse every day.,High
Fan Repair,Bathroom tap keeps dripping in room 391. Please resolve this issue as soon as possible.,Medium
Lift Failure,"Continuous water leakage from ceiling in room 161, Block D. The complaint was observed this morning.",High
Window Damage,Window glass cracked due to heavy wind in room 174. Please resolve this issue as soon as possible.,Medium
Door Lock Issue,Switch board buttons are loose in room 144. This problem has been occurring since yesterday.,Medium
Water Leakage,Strong gas smell reported near hostel kitchen in Block D. The problem is becoming worse every day.,High
Ceiling Collapse,Strong gas smell reported near hostel kitchen in Block D. This problem has been occurring since yesterday.,High
Minor Maintenance,Hostel walls require repainting in Block C. This has become inconvenient for students.,Low
